layer	dore_id	dore_title	original_reference	parallel_target	parallel_type	basis
STAGE3B	040	Moses Coming Down From Mt. Sinai	Exodus 32:15	2 Corinthians 3	COVENANT_GLORY	Paul develops Moses, tablets, veil and covenant contrast.
STAGE3B	041	Moses Breaking the Tablets of the Law	Exodus 32:19	2 Corinthians 3	COVENANT_CONTRAST	Stone tablets frame Paul's old/new covenant contrast.
STAGE3B	044	The Brazen Serpent	Numbers 21:9	John 3	SERPENT_CRUCIFIXION	Jesus explicitly compares his lifting up to Moses' serpent.
STAGE3B	045	The Angel Appearing to Balaam	Numbers 22:23	2 Peter 2	BALAAM_RETROSPECT	Peter explicitly recalls Balaam and his rebuke.
STAGE3B	045	The Angel Appearing to Balaam	Numbers 22:23	Jude 1	BALAAM_RETROSPECT	Jude explicitly invokes Balaam's error.
STAGE3B	049	Joshua Spares Rahab	Joshua 6:25	Hebrews 11	FAITH_RETROSPECT	Rahab is explicitly named among examples of faith.
STAGE3B	049	Joshua Spares Rahab	Joshua 6:25	James 2	FAITH_WORKS_RETROSPECT	James explicitly cites Rahab's action.
STAGE3B	056	Gideon Choosing His Soldiers	Judges 7:7	Hebrews 11	FAITH_RETROSPECT	Gideon is explicitly named among heroes of faith.
STAGE3B	062	Samson Slaying a Lion	Judges 14:5-6	Hebrews 11	FAITH_RETROSPECT	Samson is explicitly named among heroes of faith.
STAGE3B	070	Naomi and Her Daughters-In-Law	Ruth 1:16	Matthew 1	MESSIANIC_GENEALOGY	Ruth is explicitly included in Jesus' genealogy.
STAGE3B	071	Boaz and Ruth	Ruth 2:22-23	Matthew 1	MESSIANIC_GENEALOGY	Boaz and Ruth are explicitly included in Jesus' genealogy.
STAGE3B	073	Samuel Blessing Saul	1 Samuel 9:21	Acts 13	KINGSHIP_RETROSPECT	Paul summarizes Saul's kingship and David's succession.
STAGE3B	075	David and Goliath	1 Samuel 17:50	Hebrews 11	FAITH_VICTORY	David belongs to the named faith-warrior sequence.
STAGE3B	080	Saul and the Witch of Endor	1 Samuel 28:7	1 Chronicles 10	HISTORICAL_RETROSPECT	Chronicles explicitly names Saul's consultation with a medium as cause of judgment.
STAGE3B	085	David Mourning the Death of Absalom	2 Samuel 18:33	Psalm 3	DAVID_ABSALOM_CONTEXT	Psalm superscription explicitly places David during flight from Absalom.
STAGE3B	088	Judgment of Solomon	1 Kings 3:25-27	Matthew 12	SOLOMON_CHRIST	Jesus explicitly compares himself with Solomon.
STAGE3B	091	Elijah Raiseth the Son of the Widow of Zarephath	1 Kings 17:22-23	Luke 4	ELIJAH_RETROSPECT	Jesus explicitly recalls Elijah and the widow of Zarephath.
STAGE3B	092	Slaughter of the Prophets of Baal	1 Kings 18:38-40	James 5	ELIJAH_PRAYER	James explicitly cites Elijah's effective prayer.
STAGE3B	097	Elijah Taken Up To Heaven in a Chariot of Fire	2 Kings 2:11	Luke 9	ELIJAH_TRANSFIGURATION	Elijah appears with Moses at the Transfiguration.
STAGE3B	103	Destruction of the Army of Sennacherib	2 Kings 19:35	Isaiah 37	HISTORICAL_PROPHETIC_PARALLEL	Isaiah directly recounts the same deliverance.
STAGE3B	105	The Inhabitants of Jabesh-Gilead Recovering the Bodies of Saul and His Sons	1 Chronicles 10:12	1 Samuel 31	HISTORICAL_PARALLEL	Samuel directly recounts the same recovery of Saul's body.
STAGE3B	106	Plague of Jerusalem	1 Chronicles 21:16	2 Samuel 24	HISTORICAL_PARALLEL	Samuel directly recounts David's census and plague.
STAGE3B	108	Solomon Receiving the Queen of Sheba	2 Chronicles 9:1-2	Matthew 12	SOLOMON_CHRIST	Jesus explicitly invokes the Queen of the South and Solomon.
STAGE3B	112	The Rebuilding of the Temple	Ezra 3:11	Haggai 2	TEMPLE_RESTORATION	Haggai addresses the restored temple and its latter glory.
STAGE3B	118	Job and His Friends	Job 2:11	James 5	JOB_PERSEVERANCE	James explicitly cites Job's endurance.
STAGE3B	126	The Vision of Isaiah	Isaiah 6:1	John 12	ISAIAH_CHRISTOLOGY	John cites Isaiah and states that Isaiah saw Christ's glory.
STAGE3B	130	The Suffering Servant	Isaiah 53:3-5	Acts 8	PROPHECY_FULFILLMENT	Philip explicitly interprets Isaiah 53 as speaking about Jesus.
STAGE3B	130	The Suffering Servant	Isaiah 53:3-5	1 Peter 2	PROPHECY_FULFILLMENT	Peter applies Isaiah 53 language to Christ's suffering.
STAGE3B	130	The Suffering Servant	Isaiah 53:3-5	Matthew 8	PROPHECY_FULFILLMENT	Matthew explicitly cites Isaiah's servant bearing infirmities.
STAGE3B	139	Ezekiel's Vision of the Valley of Dry Bones	Ezekiel 37:1-10	John 5	RESURRECTION_THEME	Jesus teaches the coming resurrection of the dead.
STAGE3B	142	Daniel in the Lions' Den	Daniel 6:22	Hebrews 11	FAITH_RETROSPECT	Hebrews explicitly describes faith shutting lions' mouths.
STAGE3B	136	Jonah Cast Forth by the Whale	Jonah 2:10	Matthew 12	JONAH_CHRIST	Jesus explicitly makes Jonah's three days a sign of his death and resurrection.
STAGE3B	136	Jonah Cast Forth by the Whale	Jonah 2:10	Luke 11	JONAH_CHRIST	Jesus explicitly identifies Jonah as a sign.
STAGE3B	193	The Annunciation	Luke 1:28-31	Isaiah 7	PROPHECY_FULFILLMENT	Virgin-conception prophecy is explicitly applied to Jesus in Matthew.
STAGE3B	194	The Nativity	Luke 2:7	Micah 5	PROPHECY_FULFILLMENT	Bethlehem ruler prophecy is explicitly applied to Messiah's birthplace.
STAGE3B	195	The Flight into Egypt	Matthew 2:14	Hosea 11	PROPHECY_FULFILLMENT	Matthew explicitly cites 'Out of Egypt I called my son.'
STAGE3B	196	Massacre of the Innocents	Matthew 2:16	Jeremiah 31	PROPHECY_FULFILLMENT	Matthew explicitly cites Rachel weeping.
STAGE3B	197	John the Baptist Preaching	Matthew 3:1-3	Isaiah 40	PROPHECY_FULFILLMENT	The voice in the wilderness is explicitly applied to John.
STAGE3B	197	John the Baptist Preaching	Matthew 3:1-3	Malachi 3	MESSENGER_PROPHECY	The messenger-before-the-Lord text is applied to John in the Gospels.
STAGE3B	198	The Temptation of Jesus	Matthew 4:1-11	Deuteronomy 6	SCRIPTURE_IN_JESUS	Jesus answers the tempter with Deuteronomy 6.
STAGE3B	198	The Temptation of Jesus	Matthew 4:1-11	Deuteronomy 8	SCRIPTURE_IN_JESUS	Jesus cites Deuteronomy 8:3.
STAGE3B	199	The Sermon on the Mount	Matthew 5:1-2	Exodus 20	LAW_FULFILLMENT	Jesus explicitly discusses fulfillment of the Law.
STAGE3B	204	Christ Feeding the Multitude	Matthew 14:19-20	Exodus 16	MANNA_BREAD	Wilderness bread motif is explicitly developed in John 6.
STAGE3B	207	The Transfiguration	Matthew 17:1-2	Exodus 34	MOSES_GLORY	Mountain, Moses and shining glory form a direct canonical correspondence.
STAGE3B	209	Entry of Jesus Into Jerusalem	Matthew 21:7-9	Zechariah 9	PROPHECY_FULFILLMENT	Gospel explicitly applies the donkey-riding king prophecy.
STAGE3B	214	The Crucifixion	Matthew 27:35	Psalm 22	MESSIANIC_PASSION	Psalm 22 language is explicitly invoked in the passion narratives.
STAGE3B	214	The Crucifixion	Matthew 27:35	Isaiah 53	MESSIANIC_PASSION	Servant suffering language is explicitly applied to Jesus.
STAGE3B	216	The Burial of Christ	Matthew 27:59-60	Isaiah 53	PROPHECY_FULFILLMENT	The servant's grave with the rich corresponds to Jesus' burial.
STAGE3B	217	The Resurrection	Matthew 28:5-6	Psalm 16	MESSIANIC_RESURRECTION	Acts explicitly applies Psalm 16's not seeing corruption to Jesus.
STAGE3B	217	The Resurrection	Matthew 28:5-6	1 Corinthians 15	RESURRECTION_THEOLOGY	Paul's chapter explicitly proclaims and interprets Christ's resurrection.
STAGE3B	224	The Descent of the Spirit	Acts 2:2-4	Joel 2	PROPHECY_FULFILLMENT	Peter explicitly cites Joel at Pentecost.
STAGE3B	229	The Conversion of Saul	Acts 9:3-6	Galatians 1	PAUL_RETROSPECT	Paul autobiographically recounts God's revelation of Christ and calling.
STAGE3B	232	Peter's Vision	Acts 10:11-16	Leviticus 11	CLEAN_UNCLEAN	Peter's vision directly engages Torah food categories.
STAGE3B	234	St. Paul Shipwrecked	Acts 27:41-44	2 Corinthians 11	PAUL_RETROSPECT	Paul explicitly recalls his shipwreck experiences.
