layer	dore_id	classification	dore_title	primary_reference	semantic_target	semantic_basis	status	notes
STAGE4_SEMANTIC	020	CANONICAL	Isaac Blessing Jacob	Genesis 27	Hebrews 11	PATRIARCHAL BLESSING	ASSIGNED	Isaac blessing Jacob explicitly recalled.
STAGE4_SEMANTIC	021	CANONICAL	Jacob's Dream	Genesis 28	John 1	HEAVEN OPEN / LADDER	ASSIGNED	Jesus alludes to Jacob's ladder with angels ascending and descending.
STAGE4_SEMANTIC	022	CANONICAL	Jacob Keeping Laban's Flocks	Genesis 29	John 10	SHEPHERD / FLOCK	ASSIGNED	Shepherd image reused for good shepherd discourse.
STAGE4_SEMANTIC	023	CANONICAL	The Prayer of Jacob	Genesis 32	Hosea 12	STRUGGLE / PRAYER	ASSIGNED	Jacob's striving recalled prophetically.
STAGE4_SEMANTIC	024	CANONICAL	Jacob Wrestling with the Angel	Genesis 32	Hosea 12	WRESTLING / GOD	ASSIGNED	Direct prophetic reinterpretation.
STAGE4_SEMANTIC	025	CANONICAL	The Meeting of Jacob and Esau	Genesis 33	Matthew 5	RECONCILIATION	ASSIGNED	Reconciliation image reused for brotherly peacemaking.
STAGE4_SEMANTIC	026	CANONICAL	Joseph Sold by His Brethren	Genesis 37	Acts 7	REJECTED DELIVERER	ASSIGNED	Stephen explicitly retells Joseph's rejection.
STAGE4_SEMANTIC	027	CANONICAL	Joseph Interpreting Pharaoh's Dream	Genesis 41	Daniel 2	DREAM / WISDOM	ASSIGNED	Dream interpretation and divine wisdom parallel.
STAGE4_SEMANTIC	028	CANONICAL	Joseph Makes Himself Known to His Brethren	Genesis 45	Romans 11	RECOGNITION / RESTORATION	ASSIGNED	Brotherly recognition reused for restoration motif.
STAGE4_SEMANTIC	029	CANONICAL	Jacob Goeth Into Egypt	Genesis 46	Acts 7	DESCENT TO EGYPT	ASSIGNED	Stephen recounts Jacob's move to Egypt.
STAGE4_SEMANTIC	030	CANONICAL	The Child Moses on the Nile	Exodus 2	Matthew 2	THREATENED CHILD / DELIVERER	ASSIGNED	Infant deliverer threatened by ruler parallel.
STAGE4_SEMANTIC	031	CANONICAL	The Finding of Moses	Exodus 2	Hebrews 11	MOSES / IDENTITY	ASSIGNED	Moses' upbringing and chosen identity in faith context.
STAGE4_SEMANTIC	032	CANONICAL	Moses and Aaron Before Pharaoh	Exodus 7	Revelation 11	PROPHETIC CONFRONTATION	ASSIGNED	Witnesses confronting oppressive power.
STAGE4_SEMANTIC	033	CANONICAL	The Murrain of Beasts	Exodus 9	Revelation 16	PLAGUES / JUDGMENT	ASSIGNED	Egypt plague imagery reused for apocalyptic plagues.
STAGE4_SEMANTIC	034	CANONICAL	The Plague of Darkness	Exodus 10	Revelation 16	DARKNESS / JUDGMENT	ASSIGNED	Darkness plague reused for kingdom judgment.
STAGE4_SEMANTIC	035	CANONICAL	The Firstborn Slain	Exodus 12	Hebrews 11	PASSOVER / FAITH	ASSIGNED	Passover and destroyer explicitly recalled.
STAGE4_SEMANTIC	036	CANONICAL	The Egyptians Urge Moses to Depart	Exodus 12	Psalm 105	EXODUS / RELEASE	ASSIGNED	Psalm retells Egypt urging Israel out.
STAGE4_SEMANTIC	037	CANONICAL	The Egyptians Drowned in the Red Sea	Exodus 14	Revelation 15	SEA / VICTORY	ASSIGNED	Sea victory imagery reused in song of Moses and Lamb.
STAGE4_SEMANTIC	038	CANONICAL	Moses Striking the Rock in Horeb	Exodus 17	1 Corinthians 10	ROCK / CHRIST	ASSIGNED	Explicit typological reuse.
STAGE4_SEMANTIC	039	CANONICAL	The Giving of the Law Upon Mt. Sinai	Exodus 19	Hebrews 12	SINAI / ZION	ASSIGNED	Sinai contrasted with heavenly Zion.
STAGE4_SEMANTIC	040	CANONICAL	Moses Coming Down From Mt. Sinai	Exodus 32	2 Corinthians 3	GLORY / VEIL	ASSIGNED	Moses' glory and veil reused in covenant argument.
STAGE4_SEMANTIC	041	CANONICAL	Moses Breaking the Tablets of the Law	Exodus 32	Jeremiah 31	BROKEN / NEW COVENANT	ASSIGNED	Broken covenant imagery reused against new covenant promise.
STAGE4_SEMANTIC	042	CANONICAL	Return of the Spies from the Land of Promise	Numbers 13	Hebrews 3	UNBELIEF / PROMISED REST	ASSIGNED	Wilderness unbelief reused as warning.
STAGE4_SEMANTIC	043	CANONICAL	Death of Korah, Dathan, and Abiram	Numbers 16	Jude 1	REBELLION / KORAH	ASSIGNED	Korah's rebellion explicitly cited.
STAGE4_SEMANTIC	044	CANONICAL	The Brazen Serpent	Numbers 21	John 3	LIFTED UP / SALVATION	ASSIGNED	Explicit Christological reuse.
STAGE4_SEMANTIC	045	CANONICAL	The Angel Appearing to Balaam	Numbers 22	2 Peter 2	BALAAM / REBUKE	ASSIGNED	Balaam's madness and rebuke recalled.
STAGE4_SEMANTIC	046	CANONICAL	The Children of Israel Crossing Jordan	Joshua 3	Hebrews 4	ENTERING REST	ASSIGNED	Entry into promised rest reused theologically.
STAGE4_SEMANTIC	047	CANONICAL	The Angel Appearing to Joshua	Joshua 5	Revelation 19	DIVINE WARRIOR	ASSIGNED	Commander/divine warrior imagery reused apocalyptically.
STAGE4_SEMANTIC	048	CANONICAL	The Walls of Jericho Falling Down	Joshua 6	Hebrews 11	FAITH / JERICHO	ASSIGNED	Jericho's fall explicitly recalled.
STAGE4_SEMANTIC	049	CANONICAL	Joshua Spares Rahab	Joshua 6	James 2	RAHAB / FAITH WORKS	ASSIGNED	Rahab explicitly cited.
STAGE4_SEMANTIC	050	CANONICAL	The Stoning of Achan	Joshua 7	Acts 5	COMMUNITY SIN / JUDGMENT	ASSIGNED	Achan-Ananias communal judgment parallel.
STAGE4_SEMANTIC	051	CANONICAL	Joshua Committing the Town of Ai to the Flames	Joshua 8	Revelation 18	CITY / JUDGMENT	ASSIGNED	Destroyed city image reused for Babylon's fall.
STAGE4_SEMANTIC	052	CANONICAL	Destruction of the Army of the Amorites	Joshua 10	Revelation 19	HOLY WAR / JUDGMENT	ASSIGNED	Divine-war image reused for final judgment battle.
STAGE4_SEMANTIC	053	CANONICAL	Joshua Commanding the Sun to Stand Still	Joshua 10	Habakkuk 3	COSMIC HOLY WAR	ASSIGNED	Sun and moon imagery reused in theophanic warfare.
STAGE4_SEMANTIC	054	CANONICAL	Jael and Sisera	Judges 4	Judges 5	VICTORY SONG	ASSIGNED	Image reused for poetic retelling of same victory.
STAGE4_SEMANTIC	055	CANONICAL	Deborah	Judges 5	Hebrews 11	FAITH / JUDGES	ASSIGNED	Judge-era faith imagery.
STAGE4_SEMANTIC	056	CANONICAL	Gideon Choosing His Soldiers	Judges 7	1 Corinthians 1	WEAKNESS / DIVINE VICTORY	ASSIGNED	Small weak band reused for God choosing weak things.
STAGE4_SEMANTIC	057	CANONICAL	The Midianites Put to Flight	Judges 7	Hebrews 11	FAITH / VICTORY	ASSIGNED	Gideon among faith heroes.
STAGE4_SEMANTIC	058	CANONICAL	Death of the Sons of Gideon	Judges 9	Matthew 23	VIOLENCE / RIGHTEOUS BLOOD	ASSIGNED	Violence against righteous people thematic reuse.
STAGE4_SEMANTIC	059	CANONICAL	Death of Abimelech	Judges 9	2 Samuel 11	ABIMELECH RETROSPECT	ASSIGNED	Abimelech's death explicitly recalled in Joab/Uriah episode.
STAGE4_SEMANTIC	060	CANONICAL	Jephthah's Daughter Coming to Meet Her Father	Judges 11	Hebrews 11	JEPHTHAH / FAITH	ASSIGNED	Jephthah explicitly named.
STAGE4_SEMANTIC	061	CANONICAL	The Daughters of Israel Lamenting the Daughter of Jephthah	Judges 11	Lamentations 2	LAMENT / DAUGHTERS	ASSIGNED	Female communal lament image reused poetically.
STAGE4_SEMANTIC	062	CANONICAL	Samson Slaying a Lion	Judges 14	1 Peter 5	LION / ADVERSARY	ASSIGNED	Lion image reused for spiritual struggle.
STAGE4_SEMANTIC	063	CANONICAL	Samson Destroying the Philistines With the Jawbone of an Ass	Judges 15	Hebrews 11	SAMSON / VICTORY	ASSIGNED	Samson's feats under faith summary.
STAGE4_SEMANTIC	064	CANONICAL	Samson Carrying Away the Gates of Gaza	Judges 16	Matthew 16	GATES / VICTORY	ASSIGNED	Gate-breaking image reused for gates of Hades motif.
STAGE4_SEMANTIC	065	CANONICAL	Samson and Delilah	Judges 16	Proverbs 7	SEDUCTION / FALL	ASSIGNED	Seduction and destruction imagery reused in wisdom warning.
STAGE4_SEMANTIC	066	CANONICAL	Death of Samson	Judges 16	Hebrews 11	SAMSON / DEATH VICTORY	ASSIGNED	Samson named among faith heroes.
STAGE4_SEMANTIC	067	CANONICAL	The Levite Finding the Corpse of the Woman	Judges 19	Lamentations 1	VIOLENCE / DESOLATION	ASSIGNED	Desolation image reused for communal horror.
STAGE4_SEMANTIC	068	CANONICAL	The Levite Bearing Away the Body of the Woman	Judges 19	Judges 20	OUTRAGE / CIVIL WAR	ASSIGNED	Direct consequence of the outrage.
STAGE4_SEMANTIC	069	CANONICAL	The Children of Benjamin Carrying Off the Virgins of Jabesh-Gilead	Judges 21	Judges 20	CIVIL WAR AFTERMATH	ASSIGNED	Aftermath image reused for preceding conflict.
STAGE4_SEMANTIC	070	CANONICAL	Naomi and Her Daughters-In-Law	Ruth 1	Matthew 1	RUTH / MESSIANIC LINE	ASSIGNED	Ruth's story reused for genealogy context.
STAGE4_SEMANTIC	071	CANONICAL	Boaz and Ruth	Ruth 2	Revelation 19	BRIDE / REDEEMER	ASSIGNED	Redeemer-bride image reused christologically.
STAGE4_SEMANTIC	072	CANONICAL	Return of the Ark to Bethshemesh	1 Samuel 6	Psalm 132	ARK / PRESENCE	ASSIGNED	Ark-presence imagery reused in Zion liturgy.
STAGE4_SEMANTIC	073	CANONICAL	Samuel Blessing Saul	1 Samuel 9	Acts 13	SAUL / KINGSHIP	ASSIGNED	Saul's kingship summarized.
STAGE4_SEMANTIC	074	CANONICAL	Death of Agag	1 Samuel 15	Esther 3	AMALEK / AGAG	ASSIGNED	Agagite identity reused in Haman-Amalek memory.
STAGE4_SEMANTIC	075	CANONICAL	David and Goliath	1 Samuel 17	Ephesians 6	SPIRITUAL BATTLE	ASSIGNED	Battle image reused for armor/spiritual warfare.
STAGE4_SEMANTIC	076	CANONICAL	Saul Attempts the Life of David	1 Samuel 18	Psalm 59	DAVID / PURSUIT	ASSIGNED	Psalm superscription tied to Saul watching David's house.
STAGE4_SEMANTIC	077	CANONICAL	The Escape of David Through the Window	1 Samuel 19	Psalm 59	ESCAPE / PURSUIT	ASSIGNED	Direct Davidic pursuit setting.
STAGE4_SEMANTIC	078	CANONICAL	David and Jonathan	1 Samuel 20	John 15	COVENANT FRIENDSHIP	ASSIGNED	Self-giving friendship thematic reuse.
STAGE4_SEMANTIC	079	CANONICAL	David Showing Saul that He had Spared His Life	1 Samuel 24	Romans 12	NONRETALIATION	ASSIGNED	Mercy toward enemy reused ethically.
STAGE4_SEMANTIC	080	CANONICAL	Saul and the Witch of Endor	1 Samuel 28	Isaiah 8	MEDIUMS / FORBIDDEN CONSULTATION	ASSIGNED	Prophetic warning against mediums.
STAGE4_SEMANTIC	081	CANONICAL	Death of Saul	1 Samuel 31	1 Chronicles 10	SAUL / JUDGMENT	ASSIGNED	Direct historical retelling.
STAGE4_SEMANTIC	082	CANONICAL	Combat Between the Champions of Ish-Bosheth and David	2 Samuel 2	James 4	STRIFE / CONFLICT	ASSIGNED	Violent rivalry reused for conflict warning.
STAGE4_SEMANTIC	083	CANONICAL	David Punishing the Ammonites	2 Samuel 12	1 Chronicles 20	WAR / AMMONITES	ASSIGNED	Direct historical retelling.
STAGE4_SEMANTIC	084	CANONICAL	Death of Absalom	2 Samuel 18	Psalm 3	ABSALOM / DAVID	ASSIGNED	Absalom conflict context.
STAGE4_SEMANTIC	085	CANONICAL	David Mourning the Death of Absalom	2 Samuel 18	Luke 19	WEEPING OVER REBELLIOUS CITY	ASSIGNED	Parental/royal grief reused for Jesus weeping over Jerusalem.
STAGE4_SEMANTIC	086	CANONICAL	Rizpah's Kindness Unto the Dead	2 Samuel 21	Tobit 1	BURIAL / MERCY	ASSIGNED	Care for unburied dead semantic reuse.
STAGE4_SEMANTIC	087	CANONICAL	Abishai Saves the Life of David	2 Samuel 21	Psalm 18	DELIVERANCE / KING	ASSIGNED	Royal deliverance image reused in Davidic thanksgiving.
STAGE4_SEMANTIC	088	CANONICAL	Judgment of Solomon	1 Kings 3	James 1	WISDOM / JUDGMENT	ASSIGNED	Wisdom granted by God thematic reuse.
STAGE4_SEMANTIC	089	CANONICAL	Cutting Down Cedars for the Construction of the Temple	1 Kings 5	Ezra 3	TEMPLE BUILDING	ASSIGNED	Building-material imagery reused for restored temple.
STAGE4_SEMANTIC	090	CANONICAL	The Disobedient Prophet Slain by a Lion	1 Kings 13	Galatians 1	FALSE MESSAGE / OBEDIENCE	ASSIGNED	Warning against altered divine message.
STAGE4_SEMANTIC	091	CANONICAL	Elijah Raiseth the Son of the Widow of Zarephath	1 Kings 17	Luke 7	WIDOW / SON RAISED	ASSIGNED	Widow's son resurrection parallel.
STAGE4_SEMANTIC	092	CANONICAL	Slaughter of the Prophets of Baal	1 Kings 18	Revelation 19	FALSE WORSHIP / JUDGMENT	ASSIGNED	Idolatry judgment imagery.
STAGE4_SEMANTIC	093	CANONICAL	Elijah Nourished by an Angel	1 Kings 19	Matthew 4	ANGELS / WILDERNESS	ASSIGNED	Angelic ministry in wilderness.
STAGE4_SEMANTIC	094	CANONICAL	Slaughter of the Syrians by the Children of Israel	1 Kings 20	2 Kings 6	SYRIAN WAR	ASSIGNED	Same Aramean conflict world.
STAGE4_SEMANTIC	095	CANONICAL	Death of Ahab	1 Kings 22	Revelation 19	KING / JUDGMENT	ASSIGNED	Fallen wicked ruler image reused for final judgment.
STAGE4_SEMANTIC	096	CANONICAL	Elijah Destroys the Messengers of Ahaziah by Fire	2 Kings 1	Luke 9	ELIJAH FIRE / DISCIPLES	ASSIGNED	Disciples explicitly invoke Elijah's fire precedent.
STAGE4_SEMANTIC	097	CANONICAL	Elijah Taken Up To Heaven in a Chariot of Fire	2 Kings 2	Acts 1	ASCENSION	ASSIGNED	Heavenward departure image reused for ascension.
STAGE4_SEMANTIC	098	CANONICAL	The Children Destroyed by Bears	2 Kings 2	Galatians 6	MOCKERY / CONSEQUENCE	ASSIGNED	Reaping consequences thematic reuse.
STAGE4_SEMANTIC	099	CANONICAL	The Famine in Samaria	2 Kings 6	Lamentations 4	SIEGE / FAMINE	ASSIGNED	Siege-famine imagery reused for Jerusalem lament.
STAGE4_SEMANTIC	100	CANONICAL	The Death of Jezebel	2 Kings 9	Revelation 2	JEZEBEL / JUDGMENT	ASSIGNED	Jezebel name reused symbolically in Thyatira.
STAGE4_SEMANTIC	101	CANONICAL	Jehu's Companions Finding the Remains of Jezebel	2 Kings 9	Revelation 18	FALL / AFTERMATH	ASSIGNED	Judgment aftermath imagery reused.
STAGE4_SEMANTIC	102	CANONICAL	The Strange Nations Slain by the Lions of Samaria	2 Kings 17	1 Peter 5	LION / JUDGMENT	ASSIGNED	Lion threat image reused spiritually.
STAGE4_SEMANTIC	103	CANONICAL	Destruction of the Army of Sennacherib	2 Kings 19	Isaiah 37	DELIVERANCE / SIEGE	ASSIGNED	Direct historical retelling.
STAGE4_SEMANTIC	104	CANONICAL	Slaughter of the Sons of Zedekiah Before Their Father	2 Kings 25	Lamentations 2	FALL OF JERUSALEM	ASSIGNED	Catastrophic fall imagery reused in lament.
STAGE4_SEMANTIC	105	CANONICAL	The Inhabitants of Jabesh-Gilead Recovering the Bodies of Saul and His Sons	1 Chronicles 10	2 Samuel 2	BURIAL / LOYALTY	ASSIGNED	Loyal burial action recalled in David's praise.
STAGE4_SEMANTIC	106	CANONICAL	Plague of Jerusalem	1 Chronicles 21	Revelation 6	PLAGUE / JUDGMENT	ASSIGNED	Citywide judgment imagery reused apocalyptically.
STAGE4_SEMANTIC	107	CANONICAL	Solomon	2 Chronicles 1	Proverbs 2	WISDOM	ASSIGNED	Solomonic wisdom image reused for wisdom seeking.
STAGE4_SEMANTIC	108	CANONICAL	Solomon Receiving the Queen of Sheba	2 Chronicles 9	Matthew 12	QUEEN OF SOUTH / SOLOMON	ASSIGNED	Jesus explicitly recalls queen visiting Solomon.
STAGE4_SEMANTIC	109	CANONICAL	The Destruction of the Armies of the Ammonites and Moabites	2 Chronicles 20	Psalm 46	DIVINE VICTORY	ASSIGNED	God-fought battle imagery reused in Zion confidence.
STAGE4_SEMANTIC	110	CANONICAL	Death of Athaliah	2 Chronicles 23	2 Kings 11	ATHALIAH / COUP	ASSIGNED	Direct retelling.
STAGE4_SEMANTIC	111	CANONICAL	Cyrus Restoring the Vessels of the Temple	Ezra 1	Isaiah 45	CYRUS / RESTORATION	ASSIGNED	Cyrus as anointed restorer.
STAGE4_SEMANTIC	112	CANONICAL	The Rebuilding of the Temple	Ezra 3	Haggai 1	TEMPLE REBUILDING	ASSIGNED	Restoration building theme.
STAGE4_SEMANTIC	113	CANONICAL	Artaxerxes Granting Liberty to the Jews	Ezra 7	Nehemiah 2	ROYAL AUTHORIZATION	ASSIGNED	Imperial permission for restoration.
STAGE4_SEMANTIC	114	CANONICAL	Ezra in Prayer	Ezra 9	Daniel 9	CONFESSIONAL PRAYER	ASSIGNED	Corporate confession imagery.
STAGE4_SEMANTIC	115	CANONICAL	Nehemiah Viewing Secretly the Ruins of the Walls of Jerusalem	Nehemiah 2	Lamentations 1	RUINS / JERUSALEM	ASSIGNED	Desolate Jerusalem imagery.
STAGE4_SEMANTIC	116	CANONICAL	Ezra Reading the Law in the Hearing of the People	Nehemiah 8	Luke 4	PUBLIC SCRIPTURE READING	ASSIGNED	Public reading image reused for synagogue scene.
STAGE4_SEMANTIC	117	CANONICAL	The Queen Vashti Refusing to Obey the Command of Ahasuerus	Esther 1	Daniel 3	REFUSAL BEFORE KING	ASSIGNED	Defiance before royal command motif.
STAGE4_SEMANTIC	118	CANONICAL	Triumph of Mordecai	Esther 6	Psalm 75	REVERSAL / EXALTATION	ASSIGNED	God brings down and lifts up.
STAGE4_SEMANTIC	119	CANONICAL	Esther Accusing Haman	Esther 7	Proverbs 26	PLOT / REVERSAL	ASSIGNED	Trap-maker caught by own device.
STAGE4_SEMANTIC	120	CANONICAL	Job Hearing of His Ruin	Job 1	James 5	SUFFERING / PERSEVERANCE	ASSIGNED	Job explicitly cited.
STAGE4_SEMANTIC	121	CANONICAL	Job and His Friends	Job 2	Romans 12	MOURNING WITH MOURNERS	ASSIGNED	Companions sitting in grief image.
STAGE4_SEMANTIC	122	CANONICAL	Isaiah	Isaiah 6	John 12	PROPHET / GLORY	ASSIGNED	John applies Isaiah vision to Christ's glory.
STAGE4_SEMANTIC	123	CANONICAL	Isaiah's Vision of the Destruction of Babylon	Isaiah 13	Revelation 18	BABYLON / FALL	ASSIGNED	Babylon judgment image reused apocalyptically.
STAGE4_SEMANTIC	124	CANONICAL	The Destruction of Leviathan	Isaiah 27	Revelation 12	DRAGON / COSMIC ENEMY	ASSIGNED	Leviathan-dragon imagery.
STAGE4_SEMANTIC	125	CANONICAL	Jeremiah	Jeremiah 1	Ezekiel 2	PROPHETIC CALL	ASSIGNED	Prophet commission imagery.
STAGE4_SEMANTIC	126	CANONICAL	Baruch Writing Jeremiah's Prophecies	Jeremiah 36	2 Timothy 3	SCRIPTURE / WRITING	ASSIGNED	Written prophetic word imagery.
STAGE4_SEMANTIC	127	CANONICAL	The People Mourning Over the Ruins of Jerusalem	Lamentations 1	Nehemiah 1	JERUSALEM / MOURNING	ASSIGNED	Mourning ruined Jerusalem.
STAGE4_SEMANTIC	128	CANONICAL	Ezekiel Prophesying	Ezekiel 1	Revelation 4	THRONE VISION	ASSIGNED	Visionary throne imagery.
STAGE4_SEMANTIC	129	CANONICAL	The Vision of the Valley of the Dry Bones	Ezekiel 37	John 11	RESURRECTION / LIFE	ASSIGNED	Life from death image reused for Lazarus.
STAGE4_SEMANTIC	130	CANONICAL	Daniel	Daniel 2	Revelation 1	APOCALYPTIC SEER	ASSIGNED	Prophetic-seer image reused for John.
STAGE4_SEMANTIC	131	CANONICAL	Shadrach, Meshach, and Abednego in the Fiery Furnace	Daniel 3	1 Peter 1	TRIAL BY FIRE	ASSIGNED	Faith tested by fire.
STAGE4_SEMANTIC	132	CANONICAL	Daniel Interpreting the Writing on the Wall	Daniel 5	Revelation 18	FALL OF EMPIRE	ASSIGNED	Impending imperial judgment.
STAGE4_SEMANTIC	133	CANONICAL	Daniel in the Den of Lions	Daniel 6	Hebrews 11	LIONS / FAITH	ASSIGNED	Explicit allusion to shutting lions' mouths.
STAGE4_SEMANTIC	134	CANONICAL	The Vision of the Four Beasts	Daniel 7	Revelation 13	BEASTS / KINGDOMS	ASSIGNED	Apocalyptic beast imagery.
STAGE4_SEMANTIC	135	CANONICAL	Amos	Amos 1	Acts 7	PROPHETIC ACCUSATION	ASSIGNED	Prophetic indictment reused for covenant rebellion.
STAGE4_SEMANTIC	136	CANONICAL	Jonah Cast Forth by the Whale	Jonah 2	Matthew 12	DEATH / RESURRECTION SIGN	ASSIGNED	Explicit sign of Jonah.
STAGE4_SEMANTIC	137	CANONICAL	Jonah Preaching to the Ninevites	Jonah 3	Luke 11	REPENTANCE / NINEVEH	ASSIGNED	Jesus explicitly invokes Nineveh's repentance.
STAGE4_SEMANTIC	138	CANONICAL	Micah Exhorting the Israelites to Repentance	Micah 6	James 2	JUSTICE / MERCY / WALK	ASSIGNED	Ethical faith imagery.
STAGE4_SEMANTIC	139	CANONICAL	The Vision of the Four Chariots	Zechariah 6	Revelation 6	HORSES / JUDGMENT	ASSIGNED	Apocalyptic horse/chariot imagery.
STAGE4_SEMANTIC	140	DEUTEROCANON	Tobias and the Angel	Tobit 6	Genesis 24	GUIDED JOURNEY / MARRIAGE	ASSIGNED	Angel-guided marriage journey reused for servant-Rebekah story.
STAGE4_SEMANTIC	141	DEUTEROCANON	The Angel Raphael and the Family of Tobit	Tobit 12	Hebrews 13	ANGELS / HOSPITALITY	ASSIGNED	Angel among household thematic reuse.
STAGE4_SEMANTIC	142	DEUTEROCANON	Judith and Holofernes	Judith 13	Judges 4	WOMAN / ENEMY COMMANDER	ASSIGNED	Judith-Jael semantic parallel.
STAGE4_SEMANTIC	143	DEUTEROCANON	Judith Shows the Head of Holofernes	Judith 13	1 Samuel 17	HEAD OF ENEMY / DELIVERANCE	ASSIGNED	David-Goliath victory image parallel.
STAGE4_SEMANTIC	144	DEUTEROCANON	Esther Before the King	Esther Greek Addition 15	Esther 5	QUEEN BEFORE KING	ASSIGNED	Direct canonical Esther scene analogue.
STAGE4_SEMANTIC	145	DEUTEROCANON	Mattathias and the Apostate	1 Maccabees 2	Numbers 25	ZEAL / COVENANT	ASSIGNED	Phinehas-like zeal motif.
STAGE4_SEMANTIC	146	DEUTEROCANON	Mattathias Appeals to the Jewish Refugees	1 Maccabees 2	Joshua 24	COVENANT CHOICE	ASSIGNED	Public call to covenant loyalty.
STAGE4_SEMANTIC	147	DEUTEROCANON	Judas Maccabeus Pursues Timotheus	1 Maccabees 5	Judges 7	HOLY WAR / SMALL FORCE	ASSIGNED	Faithful minority in battle.
STAGE4_SEMANTIC	148	DEUTEROCANON	The Death of Eleazar	1 Maccabees 6	Judges 16	SELF-SACRIFICIAL DEATH	ASSIGNED	Heroic death against enemies.
STAGE4_SEMANTIC	149	DEUTEROCANON	Jonathan Destroys the Temple of Dagon	1 Maccabees 10	1 Samuel 5	DAGON / TEMPLE JUDGMENT	ASSIGNED	Dagon sanctuary defeat motif.
STAGE4_SEMANTIC	150	DEUTEROCANON	Heliodorus Is Cast Down	2 Maccabees 3	Acts 9	DIVINE STRIKING / CONVERSION	ASSIGNED	Sudden heavenly intervention felling persecutor/intruder.
STAGE4_SEMANTIC	151	DEUTEROCANON	The Army Appears in the Heavens	2 Maccabees 5	2 Kings 6	HEAVENLY ARMY	ASSIGNED	Elisha's heavenly host parallel.
STAGE4_SEMANTIC	152	DEUTEROCANON	The Martyrdom of Eleazar the Scribe	2 Maccabees 6	Hebrews 11	MARTYRDOM / FAITHFULNESS	ASSIGNED	Tortured faithful refusing compromise.
