layer	dore_id	dore_title	primary_reference	parallel_target	parallel_type	status	notes
DORÉ_DIRECT_PARALLEL	177	The Arrival at Calvary	Matthew 27	Mark 15	DIRECT PASSION PARALLEL	VERIFIED	Arrival at Golgotha.
DORÉ_DIRECT_PARALLEL	177	The Arrival at Calvary	Matthew 27	Luke 23	DIRECT PASSION PARALLEL	VERIFIED	Arrival/crucifixion procession.
DORÉ_DIRECT_PARALLEL	177	The Arrival at Calvary	Matthew 27	John 19	DIRECT PASSION PARALLEL	VERIFIED	Arrival at place of crucifixion.
DORÉ_DIRECT_PARALLEL	178	The Erection of the Cross	Matthew 27	Mark 15	DIRECT PASSION PARALLEL	VERIFIED	Crucifixion event.
DORÉ_DIRECT_PARALLEL	178	The Erection of the Cross	Matthew 27	Luke 23	DIRECT PASSION PARALLEL	VERIFIED	Crucifixion event.
DORÉ_DIRECT_PARALLEL	178	The Erection of the Cross	Matthew 27	John 19	DIRECT PASSION PARALLEL	VERIFIED	Crucifixion event.
DORÉ_DIRECT_PARALLEL	179	The Descent From the Cross	Matthew 27	Mark 15	DIRECT PASSION PARALLEL	VERIFIED	Removal/burial sequence.
DORÉ_DIRECT_PARALLEL	179	The Descent From the Cross	Matthew 27	Luke 23	DIRECT PASSION PARALLEL	VERIFIED	Removal/burial sequence.
DORÉ_DIRECT_PARALLEL	179	The Descent From the Cross	Matthew 27	John 19	DIRECT PASSION PARALLEL	VERIFIED	Removal and burial preparation.
DORÉ_DIRECT_PARALLEL	180	The Dead Christ	Matthew 27	Mark 15	DIRECT PASSION PARALLEL	VERIFIED	Death/burial aftermath.
DORÉ_DIRECT_PARALLEL	180	The Dead Christ	Matthew 27	Luke 23	DIRECT PASSION PARALLEL	VERIFIED	Death/burial aftermath.
DORÉ_DIRECT_PARALLEL	180	The Dead Christ	Matthew 27	John 19	DIRECT PASSION PARALLEL	VERIFIED	Death/burial aftermath.
DORÉ_DIRECT_PARALLEL	181	The Burial of Christ	Matthew 27	Mark 15	DIRECT PASSION PARALLEL	VERIFIED	Burial of Jesus.
DORÉ_DIRECT_PARALLEL	181	The Burial of Christ	Matthew 27	Luke 23	DIRECT PASSION PARALLEL	VERIFIED	Burial of Jesus.
DORÉ_DIRECT_PARALLEL	181	The Burial of Christ	Matthew 27	John 19	DIRECT PASSION PARALLEL	VERIFIED	Burial of Jesus.
DORÉ_DIRECT_PARALLEL	182	The Resurrection	Matthew 28	Mark 16	DIRECT RESURRECTION PARALLEL	VERIFIED	Empty tomb/resurrection proclamation.
DORÉ_DIRECT_PARALLEL	182	The Resurrection	Matthew 28	Luke 24	DIRECT RESURRECTION PARALLEL	VERIFIED	Empty tomb/resurrection proclamation.
DORÉ_DIRECT_PARALLEL	182	The Resurrection	Matthew 28	John 20	DIRECT RESURRECTION PARALLEL	VERIFIED	Empty tomb/resurrection appearances.
DORÉ_DIRECT_PARALLEL	183	John the Baptist Preaching in the Wilderness	Mark 1	Matthew 3	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	John's wilderness ministry.
DORÉ_DIRECT_PARALLEL	183	John the Baptist Preaching in the Wilderness	Mark 1	Luke 3	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	John's wilderness ministry.
DORÉ_DIRECT_PARALLEL	184	The Baptism of Jesus	Mark 1	Matthew 3	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Baptism of Jesus.
DORÉ_DIRECT_PARALLEL	184	The Baptism of Jesus	Mark 1	Luke 3	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Baptism of Jesus.
DORÉ_DIRECT_PARALLEL	185	The Disciples Plucking Corn on the Sabbath	Mark 2	Matthew 12	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Sabbath grainfield controversy.
DORÉ_DIRECT_PARALLEL	185	The Disciples Plucking Corn on the Sabbath	Mark 2	Luke 6	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Sabbath grainfield controversy.
DORÉ_DIRECT_PARALLEL	186	Jesus Stilling the Tempest	Mark 4	Matthew 8	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Stilling of the storm.
DORÉ_DIRECT_PARALLEL	186	Jesus Stilling the Tempest	Mark 4	Luke 8	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Stilling of the storm.
DORÉ_DIRECT_PARALLEL	187	Jesus Blessing the Little Children	Mark 10	Matthew 19	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Jesus receives/blesses children.
DORÉ_DIRECT_PARALLEL	187	Jesus Blessing the Little Children	Mark 10	Luke 18	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Jesus receives/blesses children.
DORÉ_DIRECT_PARALLEL	188	The Widow's Mite	Mark 12	Luke 21	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Widow's offering.
DORÉ_DIRECT_PARALLEL	189	The Last Supper	Mark 14	Matthew 26	DIRECT SYNOPTIC PASSION PARALLEL	VERIFIED	Last Supper institution narrative.
DORÉ_DIRECT_PARALLEL	189	The Last Supper	Mark 14	Luke 22	DIRECT SYNOPTIC PASSION PARALLEL	VERIFIED	Last Supper institution narrative.
DORÉ_DIRECT_PARALLEL	190	The Judas Kiss	Mark 14	Matthew 26	DIRECT PASSION PARALLEL	VERIFIED	Betrayal/arrest.
DORÉ_DIRECT_PARALLEL	190	The Judas Kiss	Mark 14	Luke 22	DIRECT PASSION PARALLEL	VERIFIED	Betrayal/arrest.
DORÉ_DIRECT_PARALLEL	190	The Judas Kiss	Mark 14	John 18	DIRECT PASSION PARALLEL	VERIFIED	Arrest by Judas-led party; John omits the kiss itself.
DORÉ_DIRECT_PARALLEL	191	Jesus Falling Beneath the Cross	Mark 15	Matthew 27	PASSION PROCESSION PARALLEL	VERIFIED	Simon of Cyrene/cross-bearing procession.
DORÉ_DIRECT_PARALLEL	191	Jesus Falling Beneath the Cross	Mark 15	Luke 23	PASSION PROCESSION PARALLEL	VERIFIED	Simon of Cyrene/cross-bearing procession.
DORÉ_DIRECT_PARALLEL	192	The Ascension	Mark 16	Luke 24	DIRECT ASCENSION PARALLEL	VERIFIED	Ascension narrative.
DORÉ_DIRECT_PARALLEL	192	The Ascension	Mark 16	Acts 1	DIRECT ASCENSION PARALLEL	VERIFIED	Expanded ascension narrative.
DORÉ_DIRECT_PARALLEL	196	The Temptation of Jesus	Luke 4	Matthew 4	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Temptation in the wilderness.
DORÉ_DIRECT_PARALLEL	196	The Temptation of Jesus	Luke 4	Mark 1	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Mark gives a compressed temptation notice.
DORÉ_DIRECT_PARALLEL	197	Jesus Healing the Man Possessed With a Devil	Luke 4	Mark 1	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Capernaum synagogue exorcism.
DORÉ_DIRECT_PARALLEL	200	Jesus Raising Up the Daughter of Jairus	Luke 8	Matthew 9	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Raising of Jairus' daughter.
DORÉ_DIRECT_PARALLEL	200	Jesus Raising Up the Daughter of Jairus	Luke 8	Mark 5	DIRECT SYNOPTIC EVENT PARALLEL	VERIFIED	Raising of Jairus' daughter.
DORÉ_DIRECT_PARALLEL	209	The Agony in the Garden	Luke 22	Matthew 26	DIRECT SYNOPTIC PASSION PARALLEL	VERIFIED	Gethsemane agony/prayer.
DORÉ_DIRECT_PARALLEL	209	The Agony in the Garden	Luke 22	Mark 14	DIRECT SYNOPTIC PASSION PARALLEL	VERIFIED	Gethsemane agony/prayer.
DORÉ_DIRECT_PARALLEL	210	The Crucifixion	Luke 23	Matthew 27	DIRECT FOUR-GOSPEL PASSION PARALLEL	VERIFIED	Crucifixion.
DORÉ_DIRECT_PARALLEL	210	The Crucifixion	Luke 23	Mark 15	DIRECT FOUR-GOSPEL PASSION PARALLEL	VERIFIED	Crucifixion.
DORÉ_DIRECT_PARALLEL	210	The Crucifixion	Luke 23	John 19	DIRECT FOUR-GOSPEL PASSION PARALLEL	VERIFIED	Crucifixion.
DORÉ_DIRECT_PARALLEL	211	The Darkness at the Crucifixion	Luke 23	Matthew 27	DIRECT SYNOPTIC PASSION PARALLEL	VERIFIED	Darkness at crucifixion.
DORÉ_DIRECT_PARALLEL	211	The Darkness at the Crucifixion	Luke 23	Mark 15	DIRECT SYNOPTIC PASSION PARALLEL	VERIFIED	Darkness at crucifixion.
DORÉ_DIRECT_PARALLEL	214	The Buyers and Sellers Driven Out of the Temple	John 2	Matthew 21	TEMPLE CLEANSING GOSPEL PARALLEL	VERIFIED	Same temple-cleansing tradition; John places it earlier.
DORÉ_DIRECT_PARALLEL	214	The Buyers and Sellers Driven Out of the Temple	John 2	Mark 11	TEMPLE CLEANSING GOSPEL PARALLEL	VERIFIED	Same temple-cleansing tradition.
DORÉ_DIRECT_PARALLEL	214	The Buyers and Sellers Driven Out of the Temple	John 2	Luke 19	TEMPLE CLEANSING GOSPEL PARALLEL	VERIFIED	Same temple-cleansing tradition.
DORÉ_DIRECT_PARALLEL	216	Jesus Walking on the Sea	John 6	Matthew 14	DIRECT GOSPEL EVENT PARALLEL	VERIFIED	Walking on the sea.
DORÉ_DIRECT_PARALLEL	216	Jesus Walking on the Sea	John 6	Mark 6	DIRECT GOSPEL EVENT PARALLEL	VERIFIED	Walking on the sea.
DORÉ_DIRECT_PARALLEL	219	St. Peter Denying Christ	John 18	Matthew 26	DIRECT FOUR-GOSPEL PASSION PARALLEL	VERIFIED	Peter's denial.
DORÉ_DIRECT_PARALLEL	219	St. Peter Denying Christ	John 18	Mark 14	DIRECT FOUR-GOSPEL PASSION PARALLEL	VERIFIED	Peter's denial.
DORÉ_DIRECT_PARALLEL	219	St. Peter Denying Christ	John 18	Luke 22	DIRECT FOUR-GOSPEL PASSION PARALLEL	VERIFIED	Peter's denial.
DORÉ_DIRECT_PARALLEL	220	The Crown of Thorns	John 19	Matthew 27	DIRECT PASSION PARALLEL	VERIFIED	Crown/mockery complex.
DORÉ_DIRECT_PARALLEL	220	The Crown of Thorns	John 19	Mark 15	DIRECT PASSION PARALLEL	VERIFIED	Crown/mockery complex.
DORÉ_DIRECT_PARALLEL	221	Christ Presented to the People	John 19	Luke 23	PASSION TRIAL PARALLEL	VERIFIED	Jesus presented/judged before the crowd and authorities.
DORÉ_DIRECT_PARALLEL	222	Nailing Christ to the Cross	John 19	Matthew 27	DIRECT FOUR-GOSPEL PASSION PARALLEL	VERIFIED	Crucifixion.
DORÉ_DIRECT_PARALLEL	222	Nailing Christ to the Cross	John 19	Mark 15	DIRECT FOUR-GOSPEL PASSION PARALLEL	VERIFIED	Crucifixion.
DORÉ_DIRECT_PARALLEL	222	Nailing Christ to the Cross	John 19	Luke 23	DIRECT FOUR-GOSPEL PASSION PARALLEL	VERIFIED	Crucifixion.
DORÉ_DIRECT_PARALLEL	229	Conversion of Saul	Acts 9	Acts 22	DIRECT INTERNAL RETELLING	VERIFIED	Paul retells his conversion.
DORÉ_DIRECT_PARALLEL	229	Conversion of Saul	Acts 9	Acts 26	DIRECT INTERNAL RETELLING	VERIFIED	Paul retells his conversion before Agrippa.
